Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"Acme.JPM.Encoders.GifEncoder.GifEncoder(FilteredImageSource,OutputStream)",0,0,2,2,33.33%
"Acme.JPM.Encoders.GifEncoder.encode()",0,0,2,2,33.33%
"Translator.localize(String)",0,0,3,3,37.50%
"Translator.messageFormat(String,Object[])",0,0,3,3,37.50%
"null.getIconForStereotype(Object)",0,0,11,11,84.62%
"org.argouml.application.ArgoVersion.ArgoVersion()",3,3,5,2,16.13%
"org.argouml.application.ArgoVersion.init()",3,3,6,3,19.35%
"org.argouml.application.LoadModules.huntForInternalModules()",5,4,14,9,42.42%
"org.argouml.application.LoadModules.run()",3,0,7,4,21.21%
"org.argouml.application.Main.addPostLoadAction(Runnable)",5,6,9,3,1.35%
"org.argouml.application.Main.checkHostsFile()",4,4,16,12,2.39%
"org.argouml.application.Main.checkJVMVersion()",10,9,19,9,2.84%
"org.argouml.application.Main.getMostRecentProject()",2,0,16,14,2.39%
"org.argouml.application.Main.initModel()",3,3,15,12,2.24%
"org.argouml.application.Main.initPreinitialize()",3,0,14,11,2.09%
"org.argouml.application.Main.initTranslator()",3,0,16,13,2.39%
"org.argouml.application.Main.initVersion()",9,9,12,3,1.79%
"org.argouml.application.Main.initializeGUI(SplashScreen)",7,5,45,37,6.73%
"org.argouml.application.Main.initializeSplash()",5,4,22,16,3.29%
"org.argouml.application.Main.initializeSubsystems(SimpleTimer,SplashScreen)",10,0,40,30,5.98%
"org.argouml.application.Main.main(String[])",12,4,102,89,15.25%
"org.argouml.application.Main.openProject(SimpleTimer,SplashScreen,ProjectBrowser,File)",1,0,35,34,5.23%
"org.argouml.application.Main.parseCommandLine(String[])",11,7,72,60,10.76%
"org.argouml.application.Main.performCommands(List<String>)",10,8,14,3,2.09%
"org.argouml.application.Main.performCommandsInternal(List<String>)",9,8,65,55,9.72%
"org.argouml.application.Main.printUsage()",7,3,24,17,3.59%
"org.argouml.application.Main.setSystemProperties()",2,0,8,6,1.20%
"org.argouml.application.Main.updateProgress(SplashScreen,int,String)",4,7,14,7,2.09%
"org.argouml.application.PostLoad.PostLoad(List<Runnable>)",4,5,8,3,20.00%
"org.argouml.application.PostLoad.run()",3,0,18,15,45.00%
"org.argouml.application.StartCritics.run()",5,0,38,34,79.17%
"org.argouml.application.SubsystemUtility.initSubsystem(InitSubsystem)",10,6,24,13,77.42%
"org.argouml.application.api.AbstractArgoJPanel.AbstractArgoJPanel()",4,4,7,3,4.32%
"org.argouml.application.api.AbstractArgoJPanel.AbstractArgoJPanel(String)",5,5,9,3,5.56%
"org.argouml.application.api.AbstractArgoJPanel.AbstractArgoJPanel(String,boolean)",6,6,12,4,7.41%
"org.argouml.application.api.AbstractArgoJPanel.clone()",6,7,15,8,9.26%
"org.argouml.application.api.AbstractArgoJPanel.getIcon()",2,3,6,3,3.70%
"org.argouml.application.api.AbstractArgoJPanel.getOrientation()",2,3,6,3,3.70%
"org.argouml.application.api.AbstractArgoJPanel.getTitle()",2,3,6,3,3.70%
"org.argouml.application.api.AbstractArgoJPanel.setIcon(Icon)",2,3,6,3,3.70%
"org.argouml.application.api.AbstractArgoJPanel.setOrientation(Orientation)",3,0,6,3,3.70%
"org.argouml.application.api.AbstractArgoJPanel.setTitle(String)",2,3,6,3,3.70%
"org.argouml.application.api.AbstractArgoJPanel.spawn()",15,11,38,23,23.46%
"org.argouml.application.api.Argo.Argo()",3,3,5,2,1.53%
"org.argouml.application.api.Argo.getDirectory()",6,5,12,5,3.68%
"org.argouml.application.api.Argo.getEncoding()",4,5,8,3,2.45%
"org.argouml.application.api.Argo.setDirectory(String)",7,5,11,3,3.37%
"org.argouml.application.api.CommandLineInterface.doCommand(String)",5,n/a,n/a,1,40.00%
"org.argouml.application.api.GUISettingsTabInterface.getTabKey()",4,n/a,n/a,1,11.11%
"org.argouml.application.api.GUISettingsTabInterface.getTabPanel()",4,n/a,n/a,1,11.11%
"org.argouml.application.api.GUISettingsTabInterface.handleResetToDefault()",8,n/a,n/a,1,16.67%
"org.argouml.application.api.GUISettingsTabInterface.handleSettingsTabCancel()",3,n/a,n/a,1,7.41%
"org.argouml.application.api.GUISettingsTabInterface.handleSettingsTabRefresh()",3,n/a,n/a,1,7.41%
"org.argouml.application.api.GUISettingsTabInterface.handleSettingsTabSave()",3,n/a,n/a,1,7.41%
"org.argouml.application.api.InitSubsystem.getDetailsTabs()",4,n/a,n/a,1,17.50%
"org.argouml.application.api.InitSubsystem.getProjectSettingsTabs()",4,n/a,n/a,1,17.50%
"org.argouml.application.api.InitSubsystem.getSettingsTabs()",4,n/a,n/a,1,17.50%
"org.argouml.application.api.InitSubsystem.init()",6,n/a,n/a,1,17.50%
"org.argouml.application.api.Predicate.evaluate(Object)",0,n/a,n/a,1,11.11%
"org.argouml.application.events.ArgoDiagramAppearanceEvent.ArgoDiagramAppearanceEvent(int,Object)",2,4,7,3,31.82%
"org.argouml.application.events.ArgoDiagramAppearanceEvent.getEventStartRange()",4,5,8,3,36.36%
"org.argouml.application.events.ArgoDiagramAppearanceEventListener.diagramFontChanged(ArgoDiagramAppearanceEvent)",3,n/a,n/a,1,38.46%
"org.argouml.application.events.ArgoEvent.ArgoEvent(int,Object)",4,6,10,4,18.87%
