no,method_id,type,name,key,value
0,1,,org.tigris.gef.base,NOCS,154
1,1578,,org.tigris.gef.presentation,NOCS,45
2,2553,,org.tigris.swidgets,NOCS,38
3,3310,,org.argouml.util,NOCS,25
4,3455,,org.argouml.uml.cognitive.critics,NOCS,22
5,2422,,org.tigris.gef.util,NOCS,17
6,5543,,org.tigris.gef.graph.presentation,NOCS,15
7,5297,,org.tigris.gef.ui,NOCS,13
8,5452,,org.tigris.gef.persistence.pgml,NOCS,13
9,3118,,org.tigris.gef.properties.ui,NOCS,12
10,3585,,org.argouml.model,NOCS,8
11,5035,,org.tigris.gef.ocl,NOCS,7
12,5781,,org.tigris.gef.persistence,NOCS,7
13,2971,,org.tigris.gef.graph,NOCS,6
14,3569,,org.argouml.cognitive.ui,NOCS,6
15,6050,,org.argouml.cognitive,NOCS,6
16,5400,,org.tigris.gef.undo,NOCS,5
17,5114,,org.tigris.gef.persistence.export,NOCS,4
18,5274,,org.argouml.util.osdep,NOCS,4
19,6068,,org.argouml.uml.diagram.deployment.ui,NOCS,4
21,6110,,org.argouml.util.logging,NOCS,3
26,3273,,org.tigris.gef.persistence.svg,NOCS,2
27,5107,,org.argouml.configuration,NOCS,2
29,6075,,org.tigris.gef.event,NOCS,2
30,6104,,org.argouml.uml.cognitive,NOCS,2
31,6164,,org.tigris.gef.demo,NOCS,2
46,5775,,org.tigris.gef.properties,NOCS,1
47,6086,,Acme.JPM.Encoders,NOCS,1
49,6124,,org.tigris.gef.xml.svg,NOCS,1
50,6157,,org.argouml.kernel,NOCS,1
52,6171,,org.argouml.i18n,NOCS,1
53,6175,,org.argouml.uml,NOCS,1
,TOTAL,,,,430
