,method_id,name,key,value
0,4480,edu.rice.cs.drjava.ui,NOCS,1027.0
1,1129,edu.rice.cs.drjava.model,NOCS,264.0
2,500,edu.rice.cs.drjava.config,NOCS,143.0
3,10267,edu.rice.cs.drjava.ui.config,NOCS,118.0
4,11804,edu.rice.cs.util,NOCS,95.0
5,8742,edu.rice.cs.drjava.model.repl,NOCS,93.0
6,1,edu.rice.cs.util.swing,NOCS,85.0
7,3886,edu.rice.cs.drjava.model.definitions.indent,NOCS,55.0
8,9769,edu.rice.cs.drjava.model.repl.newjvm,NOCS,37.0
9,12543,edu.rice.cs.drjava.model.definitions.reducedmodel,NOCS,34.0
10,13013,edu.rice.cs.drjava.model.junit,NOCS,33.0
11,4161,edu.rice.cs.util.docnavigation,NOCS,32.0
12,10844,edu.rice.cs.drjava.model.definitions,NOCS,31.0
13,11659,edu.rice.cs.drjava.model.javadoc,NOCS,31.0
14,13312,edu.rice.cs.drjava.model.debug.jpda,NOCS,30.0
15,7162,edu.rice.cs.drjava.ui.MainFrame$163,NOCS,27.0
16,9413,edu.rice.cs.util.sexp,NOCS,25.0
17,11185,edu.rice.cs.drjava.project,NOCS,25.0
18,13673,edu.rice.cs.drjava,NOCS,25.0
19,11443,edu.rice.cs.drjava.model.compiler,NOCS,24.0
20,13816,edu.rice.cs.drjava.ui.predictive,NOCS,24.0
21,9541,edu.rice.cs.drjava.model.debug,NOCS,21.0
22,13561,edu.rice.cs.util.newjvm,NOCS,13.0
23,10135,edu.rice.cs.util.text,NOCS,12.0
24,14093,edu.rice.cs.drjava.ui.coverage,NOCS,10.0
25,13627,edu.rice.cs.drjava.ui.avail,NOCS,9.0
26,13224,edu.rice.cs.drjava.model.cache,NOCS,8.0
27,8709,edu.rice.cs.util.jar,NOCS,6.0
28,5611,edu.rice.cs.drjava.ui.ProjectAdvancedPropertiesFrame$4$2,NOCS,5.0
29,6680,edu.rice.cs.drjava.ui.MainFrame$149,NOCS,4.0
30,7189,edu.rice.cs.drjava.ui.NewVersionPopup$7,NOCS,4.0
31,11688,edu.rice.cs.drjava.model.javadoc.DefaultJavadocModel$3$1,NOCS,4.0
32,11706,edu.rice.cs.drjava.model.javadoc.DefaultJavadocModel$4$1,NOCS,4.0
33,4681,edu.rice.cs.drjava.ui.JarOptionsDialog$18,NOCS,3.0
34,5059,edu.rice.cs.drjava.ui.ExternalProcessPanel$6,NOCS,3.0
35,11952,edu.rice.cs.util.ProcessSequence$1,NOCS,3.0
36,13073,edu.rice.cs.drjava.model.junit.DefaultJUnitModel$1,NOCS,3.0
37,13796,edu.rice.cs.drjava.model.print,NOCS,3.0
38,14027,edu.rice.cs.drjava.model.coverage,NOCS,3.0
39,491,edu.rice.cs.util.swing.SwingWorker$2,NOCS,2.0
40,4420,edu.rice.cs.util.docnavigation.JListNavigator$1,NOCS,2.0
41,4441,edu.rice.cs.util.docnavigation.JTreeSortNavigatorTest$1,NOCS,2.0
42,5047,edu.rice.cs.drjava.ui.ExternalProcessPanel$5,NOCS,2.0
43,5309,edu.rice.cs.drjava.ui.AutoCompletePopup$1,NOCS,2.0
44,5606,edu.rice.cs.drjava.ui.ProjectAdvancedPropertiesFrame$4,NOCS,2.0
45,5936,edu.rice.cs.drjava.ui.InteractionsPaneTest$1,NOCS,2.0
46,6564,edu.rice.cs.drjava.ui.MainFrame$64$1,NOCS,2.0
47,6582,edu.rice.cs.drjava.ui.MainFrame$68,NOCS,2.0
48,7035,edu.rice.cs.drjava.ui.GenerateCustomDrJavaJarFrame$9,NOCS,2.0
49,7040,edu.rice.cs.drjava.ui.GenerateCustomDrJavaJarFrame$9$1$1,NOCS,2.0
50,7051,edu.rice.cs.drjava.ui.GenerateCustomDrJavaJarFrame$10,NOCS,2.0
51,7057,edu.rice.cs.drjava.ui.GenerateCustomDrJavaJarFrame$11,NOCS,2.0
52,7393,edu.rice.cs.drjava.ui.MainFrame$194,NOCS,2.0
53,7561,edu.rice.cs.drjava.ui.MainFrame$225,NOCS,2.0
54,7698,edu.rice.cs.drjava.ui.MainFrame$240,NOCS,2.0
55,7962,edu.rice.cs.drjava.ui.MainFrame$252,NOCS,2.0
56,8500,edu.rice.cs.drjava.ui.InteractionsController$3$1,NOCS,2.0
57,8648,edu.rice.cs.drjava.ui.ProjectMenuTest$6,NOCS,2.0
58,10442,edu.rice.cs.drjava.ui.config.ConfigFrame$27,NOCS,2.0
59,11703,edu.rice.cs.drjava.model.javadoc.DefaultJavadocModel$4,NOCS,2.0
60,14044,edu.rice.cs.drjava.platform,NOCS,2.0
61,14114,edu.rice.cs.drjava.ui.coverage.CoverageFrame$4,NOCS,2.0
62,7,edu.rice.cs.util.swing.AsyncTaskLauncher$1,NOCS,1.0
63,10,edu.rice.cs.util.swing.AsyncTaskLauncher$1$1,NOCS,1.0
64,25,edu.rice.cs.util.swing.DropDownButton$1,NOCS,1.0
65,103,edu.rice.cs.util.swing.UtilitiesTest$1,NOCS,1.0
66,109,edu.rice.cs.util.swing.UtilitiesTest$2,NOCS,1.0
67,339,edu.rice.cs.util.swing.ScrollableListSelectionDialog$4,NOCS,1.0
68,696,edu.rice.cs.drjava.config.ConfigOptionListeners$1,NOCS,1.0
69,708,edu.rice.cs.drjava.config.ConfigOptionListeners$2,NOCS,1.0
70,1410,edu.rice.cs.drjava.model.AbstractGlobalModel$5,NOCS,1.0
71,1466,edu.rice.cs.drjava.model.AbstractGlobalModel.ProjectFileGroupingState$1,NOCS,1.0
72,2294,edu.rice.cs.drjava.model.GlobalModelTestCase$1,NOCS,1.0
73,2853,edu.rice.cs.drjava.model.RegionSet$1,NOCS,1.0
74,3035,edu.rice.cs.drjava.model.DefaultGlobalModel.ConcreteOpenDefDoc$1,NOCS,1.0
75,3037,edu.rice.cs.drjava.model.DefaultGlobalModel.ConcreteOpenDefDoc$1$1,NOCS,1.0
76,3281,edu.rice.cs.drjava.model.FindReplaceMachineTest$5,NOCS,1.0
77,4597,edu.rice.cs.drjava.ui.FindReplacePanel$24,NOCS,1.0
78,4756,edu.rice.cs.drjava.ui.EditExternalDialog$14,NOCS,1.0
79,4759,edu.rice.cs.drjava.ui.EditExternalDialog$14$1,NOCS,1.0
80,4986,edu.rice.cs.drjava.ui.CompilerErrorPanel$1,NOCS,1.0
81,5071,edu.rice.cs.drjava.ui.ExternalProcessPanel$7,NOCS,1.0
82,5083,edu.rice.cs.drjava.ui.ExternalProcessPanel$10,NOCS,1.0
83,5383,edu.rice.cs.drjava.ui.AutoCompletePopup$4,NOCS,1.0
84,5506,edu.rice.cs.drjava.ui.ProjectPropertiesFrame$10,NOCS,1.0
85,5513,edu.rice.cs.drjava.ui.ProjectPropertiesFrame$12,NOCS,1.0
86,6562,edu.rice.cs.drjava.ui.MainFrame$64,NOCS,1.0
87,6605,edu.rice.cs.drjava.ui.RecentFileManager$4,NOCS,1.0
88,6639,edu.rice.cs.drjava.ui.MainFrame$75,NOCS,1.0
89,6644,edu.rice.cs.drjava.ui.MainFrame$76,NOCS,1.0
90,6649,edu.rice.cs.drjava.ui.MainFrame$77,NOCS,1.0
91,6659,edu.rice.cs.drjava.ui.MainFrame$146,NOCS,1.0
92,6700,edu.rice.cs.drjava.ui.MainFrame$81,NOCS,1.0
93,6702,edu.rice.cs.drjava.ui.MainFrame$81$1,NOCS,1.0
94,6707,edu.rice.cs.drjava.ui.MainFrame$150,NOCS,1.0
95,6941,edu.rice.cs.drjava.ui.MainFrame$120,NOCS,1.0
96,6961,edu.rice.cs.drjava.ui.MainFrame$121,NOCS,1.0
97,7037,edu.rice.cs.drjava.ui.GenerateCustomDrJavaJarFrame$9$1,NOCS,1.0
98,7065,edu.rice.cs.drjava.ui.GenerateCustomDrJavaJarFrame$12,NOCS,1.0
99,7085,edu.rice.cs.drjava.ui.MainFrame$129,NOCS,1.0
100,7091,edu.rice.cs.drjava.ui.MainFrame$131,NOCS,1.0
101,7511,edu.rice.cs.drjava.ui.MainFrame$212,NOCS,1.0
102,7572,edu.rice.cs.drjava.ui.MainFrame$227,NOCS,1.0
103,7721,edu.rice.cs.drjava.ui.MainFrame$243,NOCS,1.0
104,7791,edu.rice.cs.drjava.ui.ExecuteExternalDialog$22,NOCS,1.0
105,7794,edu.rice.cs.drjava.ui.ExecuteExternalDialog$22$1,NOCS,1.0
106,8209,edu.rice.cs.drjava.ui.MainFrameTest$1,NOCS,1.0
107,8265,edu.rice.cs.drjava.ui.MainFrameTest$19,NOCS,1.0
108,8276,edu.rice.cs.drjava.ui.MainFrameTest$22,NOCS,1.0
109,8287,edu.rice.cs.drjava.ui.MainFrameTest$25,NOCS,1.0
110,8314,edu.rice.cs.drjava.ui.MainFrameTest$27,NOCS,1.0
111,8320,edu.rice.cs.drjava.ui.MainFrameTest$28,NOCS,1.0
112,8335,edu.rice.cs.drjava.ui.MainFrameTest$30,NOCS,1.0
113,8341,edu.rice.cs.drjava.ui.MainFrameTest$31,NOCS,1.0
114,8356,edu.rice.cs.drjava.ui.MainFrameTest$33,NOCS,1.0
115,8362,edu.rice.cs.drjava.ui.MainFrameTest$34,NOCS,1.0
116,8497,edu.rice.cs.drjava.ui.InteractionsController$3,NOCS,1.0
117,9284,edu.rice.cs.drjava.model.repl.InteractionsModel$2,NOCS,1.0
118,11629,edu.rice.cs.drjava.model.compiler.Javac160FilteringCompiler$1,NOCS,1.0
119,11685,edu.rice.cs.drjava.model.javadoc.DefaultJavadocModel$3,NOCS,1.0
120,11715,edu.rice.cs.drjava.model.javadoc.DefaultJavadocModel$4$1$4,NOCS,1.0
121,12281,edu.rice.cs.util.StringOpsTest.TestGetSimpleNameInner$2,NOCS,1.0
122,13218,edu.rice.cs.drjava.model.junit.ConcJUnitUtils$5,NOCS,1.0
123,14087,edu.rice.cs.util.classloader,NOCS,1.0
