kelas,micl_sblm,micl_sdh
Core,89.62,85.01
ProjectProperties,79.60,78.93
ProjectTMX,71.70,70.29
ProjectTMX.Loader,80.77,77.15
SegmentPropertiesArea,62.20,61.17
TaaSPlugin,84.96,84
AlignFilePickerController,61.84,62.45
AlignPanelController,40.50,41.26
BrowseTaasCollectionsController,57.93,58.74
CalcMatchStatistics,74.27,75.36
DictionariesTextArea,68.33,68.95
EditorController,48.52,51.13
EntryListPane,57.63,58.09
GlossaryTextArea,67.69,69
Main,62.75,64.01
PreferencesWindowController,45.07,45.13
ProjectUICommands,52.50,53.61
RealProject,50.42,55.01
ScriptingWindow,49.42,50.6
SearchWindowController,53.99,54.5
SegmentBuilder,73.80,74.36
SegmentPropertiesTableView,54.95,55.1
TransTipsMarker,79.07,80.66
EditorEntry,138.71,83.82
VersioningProject,138.71,74.87
